letter,en,fr,de,es,it
a,8.167,7.636,6.516,11.525,11.745
b,1.492,0.901,1.886,2.215,0.927
c,2.782,3.26,2.732,4.019,4.501
d,4.253,3.669,5.076,5.01,3.736
e,12.702,14.715,16.396,12.181,11.792
f,2.228,1.066,1.656,0.692,1.153
g,2.015,0.866,3.009,1.768,1.644
h,6.094,0.737,4.577,0.703,0.636
i,6.966,7.529,6.55,6.247,10.143
j,0.153,0.613,0.268,0.493,0.011
k,0.772,0.074,1.417,0.011,0.009
l,4.025,5.456,3.437,4.967,6.51
m,2.406,2.968,2.534,3.157,2.512
n,6.749,7.095,9.776,6.712,6.883
o,7.507,5.796,2.594,8.683,9.832
p,1.929,2.521,0.67,2.51,3.056
q,0.095,1.362,0.018,0.877,0.505
r,5.987,6.693,7.003,6.871,6.367
s,6.327,7.948,7.27,7.977,4.981
t,9.056,7.244,6.154,4.632,5.623
u,2.758,6.311,4.166,2.927,3.011
v,0.978,1.838,0.846,1.138,2.097
w,2.36,0.049,1.921,0.017,0.033
x,0.15,0.427,0.034,0.215,0.003
y,1.974,0.128,0.039,1.008,0.02
z,0.074,0.326,1.134,0.467,1.181
à,0,0.486,0,0,0.635
â,0,0.051,0,0,0
á,0,0,0,0.502,0
å,0,0,0,0,0
ä,0,0,0.578,0,0
ã,0,0,0,0,0
ą,0,0,0,0,0
æ,0,0,0,0,0
œ,0,0.018,0,0,0
ç,0,0.085,0,0,0
ĉ,0,0,0,0,0
ć,0,0,0,0,0
č,0,0,0,0,0
ď,0,0,0,0,0
ð,0,0,0,0,0
è,0,0.271,0,0,0.263
é,0,1.504,0,0.433,0
ê,0,0.218,0,0,0
ë,0,0.008,0,0,0
ę,0,0,0,0,0
ě,0,0,0,0,0
ĝ,0,0,0,0,0
ğ,0,0,0,0,0
ĥ,0,0,0,0,0
î,0,0.045,0,0,0
ì,0,0,0,0,-0.03
í,0,0,0,0.725,0.03
ï,0,0.005,0,0,0
ı,0,0,0,0,0
ĵ,0,0,0,0,0
ł,0,0,0,0,0
ñ,0,0,0,0.311,0
ń,0,0,0,0,0
ň,0,0,0,0,0
ò,0,0,0,0,0.002
ö,0,0,0.443,0,0
ô,0,0.023,0,0,0
ó,0,0,0,0.827,0
õ,0,0,0,0,0
ø,0,0,0,0,0
ř,0,0,0,0,0
ŝ,0,0,0,0,0
ş,0,0,0,0,0
ś,0,0,0,0,0
š,0,0,0,0,0
ß,0,0,0.307,0,0
ť,0,0,0,0,0
þ,0,0,0,0,0
ù,0,0.058,0,0,-0.166
ú,0,0,0,0.168,0.166
û,0,0.06,0,0,0
ŭ,0,0,0,0,0
ü,0,0,0.995,0.012,0
ů,0,0,0,0,0
ý,0,0,0,0,0
ź,0,0,0,0,0
ż,0,0,0,0,0
ž,0,0,0,0,0
